                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.5194,                 1.0296,                0.88496,                0.96547,                      1,                  0.995,                0.95055,                0.41306,                  1.873,                0.77044,             0.00037045,             0.00037045,             0.00037045
                     70,                0.57755,                 1.0725,                0.87085,                0.96547,                      1,                  0.995,                0.95055,                0.41306,                  1.873,                0.77044,             0.00036451,             0.00036451,             0.00036451
                     71,                0.53338,                0.96833,                0.89899,                0.96547,                      1,                  0.995,                0.95055,                0.41306,                  1.873,                0.77044,             0.00035824,             0.00035824,             0.00035824
                     72,                0.48104,                  1.155,                0.95478,                0.97811,                      1,                  0.995,                0.93118,                0.39843,                 1.8059,                0.74802,             0.00035164,             0.00035164,             0.00035164
                     73,                0.53163,                 1.1901,                0.87761,                0.97811,                      1,                  0.995,                0.93118,                0.39843,                 1.8059,                0.74802,             0.00034471,             0.00034471,             0.00034471
                     74,                0.58311,                 1.0358,                0.96986,                0.97811,                      1,                  0.995,                0.93118,                0.39843,                 1.8059,                0.74802,             0.00033745,             0.00033745,             0.00033745
                     75,                0.49582,                0.97045,                 0.8763,                0.98173,                      1,                  0.995,                0.92722,                 0.4058,                 1.6943,                0.74624,             0.00032986,             0.00032986,             0.00032986
                     76,                0.50082,                 1.0976,                0.91864,                0.98173,                      1,                  0.995,                0.92722,                 0.4058,                 1.6943,                0.74624,             0.00032194,             0.00032194,             0.00032194
                     77,                0.55624,                 1.0733,                0.89046,                0.98173,                      1,                  0.995,                0.92722,                 0.4058,                 1.6943,                0.74624,             0.00031369,             0.00031369,             0.00031369
                     78,                0.44203,                 1.0229,                0.95209,                0.98142,                      1,                  0.995,                0.93853,                0.43492,                 1.5581,                 0.7528,             0.00030511,             0.00030511,             0.00030511
                     79,                0.64827,                 1.2466,                0.92067,                0.98142,                      1,                  0.995,                0.93853,                0.43492,                 1.5581,                 0.7528,              0.0002962,              0.0002962,              0.0002962
                     80,                0.49276,                 1.2499,                0.91812,                0.98142,                      1,                  0.995,                0.93853,                0.43492,                 1.5581,                 0.7528,             0.00028696,             0.00028696,             0.00028696
                     81,                0.50268,                 0.9985,                0.86544,                 0.9856,                      1,                  0.995,                0.92854,                0.46606,                 1.4721,                0.77046,             0.00027739,             0.00027739,             0.00027739
                     82,                0.75202,                 1.2104,                 0.9871,                 0.9856,                      1,                  0.995,                0.92854,                0.46606,                 1.4721,                0.77046,             0.00026749,             0.00026749,             0.00026749
                     83,                0.44876,                0.86798,                0.86132,                 0.9856,                      1,                  0.995,                0.92854,                0.46606,                 1.4721,                0.77046,             0.00025726,             0.00025726,             0.00025726
                     84,                0.48467,                 1.1219,                0.86879,                0.98944,                      1,                  0.995,                0.92268,                0.45949,                 1.3779,                0.77339,              0.0002467,              0.0002467,              0.0002467
